Country,Alcohol_Consumption,GDP,Christian,Muslim,Irreligion,Hindu,Buddhist,Folk_religion,Other_religion,Jewish,Democracy,Education,Wine,Year,Depression,Homicides,"Drug_deaths_per_100,000",Median_age,Population,conflict_deaths,deaths_to_pop_rate,elec_acc_pct_pop,Urban_population,Rural_population,pct_female,urban_pop_share,suicide_death_rate
Honduras,3.88,1967.22,87.6,0.1,10.5,0.0,0.1,1.1,0.6,0.0,0.42,4.94,0.0,2005,169775.0,3852.0,1.26,18.2,7564615.0,0.0,0.0,68.90331268310547,3623946.0,3835036.0,50.19518661499024,48.58,3.8
Hungary,14.56,11282.93,81.0,0.0,18.6,0.0,0.0,0.1,0.0,0.0,0.63,10.83,310328.0,2005,371724.0,197.0,0.44,37.9,10073533.0,0.0,0.0,100.0,6694281.0,3392784.0,52.54645538330078,66.36,20.5
Iceland,7.74,48850.77,95.0,0.2,3.5,0.3,0.4,0.5,0.2,0.0,0.74,10.33,0.0,2005,9567.0,2.0,2.56,33.2,297037.0,0.0,0.0,100.0,276072.0,20662.0,49.85829544067383,93.04,10.3
India,2.33,953.57,2.3,14.23,0.24,79.8,0.7,0.0,1.04,1.72,0.65,4.53,0.0,2005,44887371.0,52183.0,0.72,22.6,1154638700.0,2442.0,2.1149472990988437e-06,67.5798110961914,335503761.0,812106163.0,47.97428894042969,29.24,18.2
Indonesia,0.48,2199.09,10.53,83.91,3.04,1.69,0.73,0.04,0.02,0.0,0.65,7.32,0.0,2005,5121758.0,12646.0,0.23,25.3,228805150.0,308.0,1.3461235466072332e-06,85.03832244873047,103961907.0,122327561.0,49.80217742919922,45.94,3.6
Iran,0.58,4634.01,0.4,96.5,1.5,0.0,0.0,0.0,1.6,0.0,0.21,9.56,0.0,2005,3264733.0,2906.0,4.72,23.6,70182590.0,351.0,5.001240336100449e-06,98.523193359375,47130045.0,22632300.0,49.12784576416016,67.56,6.1
Iraq,0.44,3493.34,0.8,99.0,0.1,0.0,0.0,0.0,0.06,0.0,0.23,6.41,0.0,2005,859785.0,6287.0,1.82,17.5,28698688.0,23172.0,0.0008074236703782417,97.57492065429688,18513374.0,8408905.0,49.48593521118164,68.77,5.8
Ireland,14.2,49381.78,85.14,1.32,10.12,0.29,0.2,0.0,0.2,0.05,0.71,10.6,0.0,2005,196470.0,53.0,3.27,32.4,4121220.0,0.0,0.0,100.0,2515791.0,1644123.0,50.07954025268555,60.48,11.4
Israel,2.7,28809.64,2.0,18.6,3.1,0.0,0.3,0.2,0.1,75.6,0.59,11.28,5700.0,2005,325506.0,238.0,0.92,27.7,6714119.0,256.0,3.812860629965004e-05,100.0,6342289.0,587811.0,50.67539978027344,91.52,7.5
Italy,9.41,33257.77,83.3,3.7,12.4,0.1,0.2,0.1,0.1,0.08,0.78,9.27,5056648.0,2005,2630579.0,610.0,0.95,40.8,58199876.0,2.0,3.4364334384492504e-08,100.0,39267369.0,18702115.0,51.44964218139648,67.74,5.5
