Country,Alcohol_Consumption,GDP,Christian,Muslim,Irreligion,Hindu,Buddhist,Folk_religion,Other_religion,Jewish,Democracy,Education,Wine,Year,Depression,Homicides,"Drug_deaths_per_100,000",Median_age,Population,conflict_deaths,deaths_to_pop_rate,elec_acc_pct_pop,Urban_population,Rural_population,pct_female
Ghana,4.26,1419.12,74.9,17.8,4.2,0.0,0.0,4.9,0.2,0.0,0.66,7.58,0.0,2010,291.5,272.92,0.19,19.2,25574722.0,4.0,1.5640443716260142e-07,64.19999694824219,12566486.0,12213128.0,49.42057800292969
Greece,9.67,21560.35,88.1,5.3,6.1,0.1,0.0,0.0,0.0,0.0,0.75,10.21,339073.0,2010,291.5,168.0,2.57,40.5,11033784.0,4.0,3.625229567662372e-07,100.0,8484693.0,2636648.0,50.875
Grenada,8.31,8057.69,96.6,0.3,1.0,0.7,0.0,1.3,0.2,0.0,0,8.3,0.0,2010,291.5,4.0,0.8,26.7,114058.0,0.0,0.0,89.28466033935547,38098.0,68129.0,49.478946685791016
Guatemala,3.51,3606.43,95.2,0.0,4.1,0.0,0.0,0.6,0.07,0.0,0.4,4.42,0.0,2010,291.5,272.92,0.67,18.7,14543126.0,0.0,0.0,84.27571105957031,6902116.0,7357571.0,50.88154602050781
Guinea,0.7,689.26,10.9,84.4,1.8,0.0,0.0,2.7,0.0,0.0,0.1,1.58,0.0,2010,291.5,272.92,0.19,16.3,10270728.0,2.0,1.947281633784869e-07,27.955623626708984,3432518.0,6759650.0,52.33138656616211
Guinea-Bissau,4.47,585.69,20.0,45.2,4.0,0.0,0.0,28.0,0.0,0.0,0.23,2.84,0.0,2010,291.5,165.0,0.28,17.0,1567226.0,0.0,0.0,6.0,610731.0,911872.0,51.5272216796875
Guyana,6.78,4847.43,66.0,6.4,2.0,27.9,0.0,0.2,0.6,0.0,0.35,8.1,0.0,2010,291.5,147.0,0.19,23.0,747937.0,0.0,0.0,83.09162902832031,199603.0,549827.0,50.36854553222656
Haiti,2.99,1296.81,86.9,0.0,10.6,0.0,0.0,2.2,0.3,0.0,0.21,4.74,0.0,2010,291.5,272.92,0.31,20.4,9842883.0,0.0,0.0,37.05562210083008,4726821.0,5222497.0,50.6750602722168
Honduras,3.59,2106.0,87.6,0.1,10.5,0.0,0.1,1.1,0.6,0.0,0.42,5.43,0.0,2010,291.5,272.92,1.31,19.6,8450936.0,0.0,0.0,80.98466491699219,4315518.0,4001949.0,50.12130355834961
Hungary,12.09,11313.52,81.0,0.0,18.6,0.0,0.0,0.1,0.0,0.0,0.63,11.88,181279.0,2010,291.5,156.0,0.42,38.9,9986832.0,1.0,1.0013185362485321e-07,100.0,6891116.0,3108907.0,52.55071258544922
Iceland,7.5,48193.7,95.0,0.2,3.5,0.3,0.4,0.5,0.2,0.0,0.74,10.89,0.0,2010,291.5,2.0,2.72,33.9,318346.0,0.0,0.0,100.0,297604.0,20437.0,49.62196731567383
India,4.35,1244.37,2.3,14.23,0.24,79.8,0.7,0.0,1.04,1.72,0.65,5.07,0.0,2010,291.5,272.92,0.61,24.0,1240613600.0,1640.0,1.3219265047553889e-06,76.30000305175781,381763164.0,852517999.0,47.972618103027344
Indonesia,0.59,2720.19,10.53,83.91,3.04,1.69,0.73,0.04,0.02,0.0,0.65,7.41,0.0,2010,291.5,272.92,0.22,26.7,244016180.0,16.0,6.556942248665642e-08,94.1500015258789,120709136.0,121125090.0,49.626441955566406
Iran,1.01,5332.11,0.4,96.5,1.5,0.0,0.0,0.0,1.6,0.0,0.21,9.71,0.0,2010,291.5,272.92,4.46,26.4,75373864.0,211.0,2.799378840389555e-06,99.49104309082033,52095517.0,21667002.0,49.5947380065918
Iraq,0.49,4052.06,0.8,99.0,0.1,0.0,0.0,0.0,0.06,0.0,0.23,7.0,0.0,2010,291.5,272.92,1.79,18.0,31264880.0,7044.0,0.0002253007208087797,98.28096771240234,20552598.0,9189379.0,49.49085235595703
Ireland,12.07,45932.02,85.14,1.32,10.12,0.29,0.2,0.0,0.2,0.05,0.71,11.57,0.0,2010,291.5,54.0,3.73,33.3,4524581.0,0.0,0.0,100.0,2806411.0,1753744.0,50.31229782104492
Israel,3.12,32504.71,2.0,18.6,3.1,0.0,0.3,0.2,0.1,75.6,0.59,12.5,5000.0,2010,291.5,169.0,0.58,28.4,7328439.0,68.0,9.278920108361413e-06,100.0,7000447.0,623153.0,50.61220169067383
Italy,7.34,32058.17,83.3,3.7,12.4,0.1,0.2,0.1,0.1,0.08,0.78,9.82,4469318.0,2010,291.5,521.0,0.71,42.5,59822452.0,12.0,2.0059358315837674e-07,100.0,40502481.0,18774936.0,51.61495971679688
Jamaica,4.38,4888.58,77.2,0.0,17.2,0.0,0.0,4.5,1.0,0.0,0.62,8.36,0.0,2010,291.5,272.92,0.16,25.4,2733904.0,0.0,0.0,92.1999969482422,1510428.0,1300036.0,50.274688720703125
Japan,7.2,32942.2,1.6,0.2,57.0,0.04,36.2,0.4,4.7,0.0,0.75,12.53,75000.0,2010,291.5,472.0,0.29,44.2,128105430.0,0.0,0.0,100.0,116302928.0,11767072.0,51.08654022216797
Jordan,0.64,4644.17,2.2,97.2,0.0,0.1,0.4,0.0,0.0,0.0,0.2,9.61,438.0,2010,291.5,232.0,0.17,20.4,6931263.0,2.0,2.8854770046959697e-07,100.0,6251315.0,1010226.0,48.99830627441406
Kazakhstan,4.97,8979.33,24.8,70.4,4.2,0.01,0.2,0.3,0.1,0.0,0.1,11.15,17232.0,2010,291.5,272.92,3.41,28.0,16627839.0,80.0,4.811208479947394e-06,100.0,9275230.0,7046642.0,51.66511154174805
Kenya,3.29,1326.39,84.8,9.7,2.5,0.1,0.0,1.7,1.2,0.0,0.43,6.19,0.0,2010,291.5,272.92,0.27,17.0,41517896.0,169.0,4.070533824739096e-06,19.200000762939453,9907053.0,32123631.0,50.34855651855469
Kiribati,1.65,1367.74,97.0,0.2,0.8,0.0,0.0,0.0,2.0,0.0,0,7.87,0.0,2010,291.5,6.0,0.84,20.2,108011.0,0.0,0.0,63.1677360534668,48779.0,54151.0,50.79180145263672
Kuwait,0.03,32035.38,14.3,74.1,0.0,8.5,2.8,0.0,0.3,0.0,0.31,6.85,0.0,2010,291.5,57.0,0.49,28.6,2943364.0,0.0,0.0,100.0,2991884.0,0.0,42.18117904663086
