Country,Alcohol_Consumption,GDP,Christian,Muslim,Irreligion,Hindu,Buddhist,Folk_religion,Other_religion,Jewish,Democracy,Education,Wine,Year,Depression,Homicides,"Drug_deaths_per_100,000",Median_age,Population,conflict_deaths,deaths_to_pop_rate,elec_acc_pct_pop,Urban_population,Rural_population,pct_female,urban_pop_share,suicide_death_rate,depression_per_pop
Croatia,9.07,11933.38,87.46,1.32,6.39,0.0,0.0,0.0,1.87,3.86,0.66,11.66,47407.0,2015,168390.0,37.0,1.41,42.2,4254821.0,1.0,2.350275134958674e-07,100.0,2360534.0,1843070.0,51.91434860229492,56.15,12.0,0.03957628299756911
Cuba,5.67,7694.01,59.2,0.0,23.0,0.2,0.0,17.4,0.0,0.0,0.1,11.92,11510.0,2015,533151.0,644.0,0.17,39.6,11339888.0,0.0,0.0,98.68345642089844,8708301.0,2616476.0,50.30586624145508,76.9,11.1,0.04701554371612841
Cyprus,10.76,23408.34,73.2,25.3,1.2,0.0,0.2,0.0,0.0,0.0,0.74,11.87,8945.0,2015,43049.0,16.0,1.05,34.9,1187286.0,0.0,0.0,100.0,777234.0,383753.0,49.9223518371582,66.95,4.2,0.036258323605264445
Czechia,14.25,17829.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,12.67,53600.0,2015,387535.0,82.0,0.94,40.3,10523801.0,0.0,0.0,100.0,7748928.0,2797131.0,50.8651237487793,73.48,11.4,0.036824622586459015
Democratic Republic of Congo,2.05,497.32,95.8,1.9,1.8,0.05,0.0,0.7,0.1,3e-05,0.15,6.49,0.0,2015,3169487.0,10206.0,0.36,15.7,78656904.0,1367.0,1.73792754416065e-05,16.148242950439453,32586913.0,43657619.0,50.13418197631836,42.74,12.2,0.040295089671975905
Denmark,10.36,53254.86,83.5,4.1,11.8,0.4,0.2,0.0,0.0,0.0,0.88,12.64,0.0,2015,234440.0,61.0,3.08,40.6,5677795.0,4.0,7.044988415397174e-07,100.0,4974525.0,708958.0,50.27316284179688,87.53,8.5,0.041290677102642837
Djibouti,0.49,2658.95,2.3,96.9,0.2,0.0,0.0,0.3,0.0,0.2,0.14,4.06,0.0,2015,39785.0,64.0,0.31,22.1,1006266.0,27.0,2.683187149322346e-05,57.57856369018555,707590.0,206408.0,47.1424446105957,77.42,9.5,0.03953725953177391
Dominica,11.32,7597.29,94.4,0.1,0.5,0.0,0.1,3.0,1.7,0.0,0.0,7.98,0.0,2015,2249.0,,0.52,30.4,70027.0,0.0,0.0,99.82901763916016,49523.0,21652.0,0.5,69.58,4.9,0.03211618375769346
Dominican Republic,6.61,6921.52,88.0,0.0,10.9,0.0,0.0,0.9,0.1,0.0,0.41,7.72,0.0,2015,381693.0,2049.0,0.42,25.3,10405832.0,0.0,0.0,98.56036376953124,8077901.0,2203774.0,49.93649291992188,78.57,7.3,0.03668068060295419
Ecuador,4.98,6124.49,94.1,0.0,5.5,0.0,0.0,0.3,0.0,0.0,0.37,8.7,0.0,2015,522770.0,1428.0,0.36,25.4,16195904.0,0.0,0.0,98.8258819580078,10278098.0,5933924.0,49.94480514526367,63.4,9.5,0.032277914218311
Egypt,0.4,3562.93,11.2,88.9,0.0,0.0,0.0,0.0,0.0,0.1,0.12,8.57,5931.0,2015,3328264.0,3684.0,0.09,23.1,97723790.0,1125.0,1.1512038163890287e-05,99.3000030517578,39551545.0,52891004.0,49.4630126953125,42.78,3.6,0.03405786861111301
El Salvador,3.59,3705.58,88.2,0.0,11.0,0.0,0.0,0.5,0.3,0.0,0.47,6.62,0.0,2015,205455.0,5537.0,0.17,24.0,6231072.0,0.0,0.0,95.4000015258789,4408609.0,1916512.0,52.977516174316406,69.7,8.9,0.03297265703236939
Equatorial Guinea,9.08,11283.4,88.7,10.0,5.0,0.0,0.0,1.7,0.5,0.0,0.07,5.53,0.0,2015,53184.0,40.0,0.47,20.5,1346974.0,0.0,0.0,66.04097747802734,825201.0,343374.0,44.720191955566406,70.62,9.8,0.03948405834114096
Eritrea,1.42,12761.677889447237,50.0,48.0,0.1,0.0,0.0,0.4,0.0,0.0,0.02,4.69,0.0,2015,219125.0,382.0,0.33,17.3,3340005.0,2.0,5.988014988001515e-07,46.03224182128906,,,0.5,35.77,14.6,0.0656061892122916
Estonia,12.39,17402.04,39.9,0.2,59.6,0.0,0.0,0.0,0.0,0.1,0.82,13.49,0.0,2015,63530.0,46.0,8.24,40.6,1314658.0,0.0,0.0,100.0,899949.0,415458.0,53.22656631469727,68.42,12.4,0.048324355079419894
Eswatini,9.84,3680.35,88.1,2.0,10.1,0.1,0.0,1.0,0.4,0.0,0.09,5.06,0.0,2015,39544.0,214.0,0.46,19.8,1133941.0,0.0,0.0,64.01241302490234,257241.0,846797.0,51.79241943359375,23.3,26.6,0.034873066588120546
Ethiopia,2.19,640.54,54.0,42.6,0.06,0.0,0.0,2.6,0.0,1.0,0.14,2.58,826.0,2015,3105969.0,7921.0,0.34,17.2,102471896.0,368.0,3.5912285647569166e-06,29.0,19590312.0,81245141.0,50.00905990600586,19.43,10.4,0.03031044726643879
Fiji,3.33,5390.71,64.4,6.4,0.8,27.9,0.0,0.0,0.5,0.0,0.3,10.35,0.0,2015,25592.0,20.0,0.32,25.3,917209.0,0.0,0.0,95.16824340820312,475368.0,393264.0,49.187686920166016,54.73,9.8,0.027902037594485007
Finland,11.18,42801.91,81.6,0.8,17.6,0.0,0.0,0.0,0.0,0.0,0.8,12.63,0.0,2015,258659.0,78.0,4.45,41.5,5479457.0,0.0,0.0,100.0,4669930.0,809601.0,50.7835807800293,85.22,12.5,0.04720522489728453
France,12.64,36652.92,63.0,7.5,28.0,0.05,0.5,0.3,0.2,0.5,0.82,11.33,4785700.0,2015,2886474.0,600.0,1.7,40.4,63809770.0,295.0,4.623116491408761e-06,100.0,53009026.0,13539246.0,51.54505920410156,79.65,13.2,0.045235612038720716
Gabon,9.57,7384.7,76.5,11.2,5.6,0.0,0.0,6.0,0.7,0.0,0.33,8.98,0.0,2015,79810.0,174.0,0.7,21.1,2028524.0,0.0,0.0,87.37686157226562,1716265.0,231425.0,49.07654571533203,88.12,13.7,0.03934387761742035
Gambia,3.67,660.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,3.88,0.0,2015,79879.0,183.0,0.2,16.1,2253137.0,0.0,0.0,54.561988830566406,1235413.0,850447.0,50.394561767578125,59.23,9.2,0.035452349324519544
Georgia,9.61,4014.19,88.5,10.7,0.7,0.0,0.0,0.0,0.0,0.0,0.54,12.72,75539.0,2015,152882.0,117.0,0.37,36.0,3771135.0,12.0,3.1820658767188128e-06,100.0,2140097.0,1585179.0,52.24497985839844,57.45,7.1,0.04054004961371046
Germany,13.06,41103.26,68.7,5.8,24.7,0.0,0.3,0.3,0.1,0.0,0.85,14.08,571794.0,2015,3479876.0,751.0,1.68,44.7,82073230.0,3.0,3.6552722489415856e-08,100.0,63062064.0,18624547.0,50.81813430786133,77.2,9.7,0.042399647241859496
Ghana,3.12,1774.07,74.9,17.8,4.2,0.0,0.0,4.9,0.2,0.0,0.61,7.78,0.0,2015,1003014.0,1744.0,0.22,19.7,28870946.0,25.0,8.659224398119826e-07,74.07884216308594,15062520.0,12786683.0,49.352821350097656,54.09,10.3,0.03474129320182304
Greece,10.49,18083.88,88.1,5.3,6.1,0.1,0.0,0.0,0.0,0.0,0.77,10.74,299558.0,2015,610862.0,100.0,1.81,42.4,10806644.0,1.0,9.253566602175477e-08,100.0,8445266.0,2375617.0,50.91008377075195,78.05,3.6,0.05652652201738116
