Country ,Christian ,Muslim,Irreligion,Hindu,Buddhist,Folk religion,Other religion,Jewish
San Marino,91.60%,0.00%,7.20%,0.00%,0.00%,0.00%,0.90%,0.30%
Spain,78.60%,2.10%,19.00%,0.04%,0.00%,0.04%,0.02%,0.10%
Vatican City,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Albania,18.00%,80.30%,1.40%,,,,0.20%,
Bosnia and Herzegovina,45.90%,50.70%,2.50%,,,,,
Bulgaria,64.7,9.8,15.9,,,0.03,0.1,9.5
Croatia,87.46%,1.32%,6.39%,,,,1.87,3.86
Greece,88.10%,5.30%,6.10%,0.10%,,,,
Kosovo,11.40%,87.00%,1.60%,,,,,
Moldova,97.40%,0.60%,1.40%,,,0.6,,
Montenegro,78.10%,18.70%,3.20%,,,,,
North Macedonia[10],60.43,32.17,0.59,,0.05,<0.01,0.02,7.2
Romania,84.82,0.31,0.68,,,0.01,0.12,13.04
Serbia,92.5,4.2,3.3,,,,,
Slovenia,78.40%,3.60%,18.00%,,,,,
Denmark,83.50%,4.10%,11.80%,0.40%,0.20%,0.00%,0.00%,0.00%
Faroe Islands,98.00%,0.00%,1.70%,0.00%,0.00%,0.00%,0.30%,0.00%
Estonia,39.90%,0.20%,59.60%,0.00%,0.00%,0.00%,0.00%,0.10%
Finland,81.60%,0.80%,17.60%,0.00%,0.00%,0.00%,0.00%,0.00%
Iceland,95.00%,0.20%,3.50%,0.30%,0.40%,0.50%,0.20%,0.00%
Latvia,55.80%,0.10%,43.80%,0.00%,0.00%,0.00%,0.20%,0.00%
Lithuania,89.80%,0.10%,10.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Norway,84.70%,3.70%,10.10%,0.50%,0.60%,0.00%,0.20%,0.00%
Sweden,76.20%,4.60%,27.00%,0.20%,0.40%,0.20%,0.20%,0.10%
Belarus,71.20%,0.20%,28.60%,0.00%,0.00%,0.00%,0.00%,0.00%
Georgia,88.50%,10.70%,0.70%,0.00%,0.00%,0.00%,0.00%,0.00%
Russia,73.30%,10.00%,16.20%,0.00%,0.10%,0.20%,0.00%,0.20%
Ukraine,83.80%,1.20%,14.70%,0.00%,0.00%,0.00%,0.00%,0.10%
Austria,68.2,8.3,13.5,0,0.2,0,0.1,
Czech Republic[6],11.7,0.05,47.8,0.02,0.05,0.02,10.7,30.1
Germany,68.7,5.8,24.7,,0.3,0.3,0.1,
Hungary,81,,18.6,,,0.1,,
Liechtenstein,91.90%,5.00%,2.90%,,,,,0.10%
Poland,94.30%,,5.60%,,,,,
Slovakia,68.8,0.1,23.8,0.02,0.1,0.04,0.7,6.5
Switzerland,81.30%,5.50%,11.90%,0.40%,0.40%,,0.10%,0.30%
